Year,Country,GDP(Billion USD)
1980,USA,2857
1980,Japan,1150
1980,Germany,854
1980,France,702
1980,UK,605
1980,Italy,483
1980,China,305
1980,Canada,276
1980,Spain,230
1980,Mexico,229
1980,Argentina,227
1980,Netherlands,194
1980,India,189
1980,Saudi Arabia,165
1980,Austrailia,163
1990,USA,5963
1990,Japan,3133
1990,Germany,1599
1990,France,1272
1990,UK,1191
1990,Italy,1171
1990,Canada,596
1990,Iran,575
1990,Spain,534
1990,Brazil,455
1990,China,399
1990,India,327
1990,Austrailia,323
1990,Netherlands,321
1990,Mexico,290
2000,USA,10252
2000,Japan,4888
2000,Germany,1949
2000,UK,1651
2000,France,1366
2000,China,1215
2000,Italy,1145
2000,Canada,745
2000,Mexico,708
2000,Brazil,655
2000,Spain,597
2000,Korea,576
2000,India,477
2000,Netherlands,418
2000,Austrailia,399
2005,USA,13037
2005,Japan,4755
2005,Germany,2848
2005,UK,2528
2005,China,2309
2005,France,2198
2005,Italy,1854
2005,Canada,1173
2005,Spain,1158
2005,Korea,935
2005,Brazil,891
2005,Mexico,877
2005,India,834
2005,Russia,819
2005,Austrailia,734
2010,USA,14992
2010,China,6066
2010,Japan,5700
2010,Germany,3402
2010,France,2647
2010,Uk,2455
2010,Brazil,2208
2010,Italy,2129
2010,India,1708
2010,Russia,1636
2010,Canada,1617
2010,Spain,1434
2010,Austrailia,1252
2010,Korea,1144
2010,Mexico,1058
2015,USA,18225
2015,China,11226
2015,Japan,4389
2015,Germany,3362
2015,UK,2897
2015,France,2439
2015,India,2104
2015,Italy,1833
2015,Brazil,1800
2015,Canada,1557
2015,Korea,1466
2015,Russia,1357
2015,Austrailia,1235
2015,Spain,1200
2015,Mexico,1171
2016,USA,18715
2016,China,11222
2016,Japan,4927
2016,Germany,3468
2016,UK,2669
2016,France,2472
2016,India,2290
2016,Italy,1870
2016,Brazil,1795
2016,Canada,1530
2016,Korea,1500
2016,Russia,1281
2016,Austrailia,1268
2016,Spain,1238
2016,Mexico,1078
2017,USA,19519
2017,China,12062
2017,Japan,4860
2017,Germany,3665
2017,India,2652
2017,UK,2640
2017,France,2592
2017,Brazil,2053
2017,Italy,1951
2017,Canada,1650
2017,Korea,1624
2017,Russia,1579
2017,Austrailia,1387
2017,Spain,1317
2017,Mexico,1157
2018,USA,20580
2018,China,13368
2018,Japan,4972
2018,Germany,3951
2018,UK,2829
2018,France,2780
2018,India,2719
2018,Italy,2076
2018,Brazil,1868
2018,Korea,1720
2018,Canada,1712
2018,Russia,1657
2018,Spain,1428
2018,Austrailia,1420
2018,Mexico,1222
2019,USA,21439
2019,China,14140
2019,Japan,5154
2019,Germany,3863
2019,India,2936
2019,UK,2744
2019,France,2707
2019,Italy,1989
2019,Brazil,1847
2019,Canada,1731
2019,Russia,1638
2019,Korea,1630
2019,Spain,1398
2019,Austrailia,1376
2019,Mexico,1274
